Cód.,Persona ID,Persona,CUIT/CUIL/CDI,MC Cód.,MC,Tipo Cuenta,Entidad Bursátil
1481,33745,BANCO DE INVERSION Y COMERCIO EXTERIOR SOCIEDAD ANONIMA,30651129083,481,BANCO DE INVERSION Y COMERCIO EXTERIOR SOCIEDAD ANONIMA,Terceros,MtR
37317,33745,BANCO DE INVERSION Y COMERCIO EXTERIOR SOCIEDAD ANONIMA,30651129083,481,BANCO DE INVERSION Y COMERCIO EXTERIOR SOCIEDAD ANONIMA,Propia,MtR
1049,422,AGRICULTORES FEDERADOS ARGENTINOS SOC COOP LTDA,30525718626,49,AGRICULTORES FEDERADOS ARGENTINOS SOC COOP LTDA,Terceros,MtR
2425,422,AGRICULTORES FEDERADOS ARGENTINOS SOC COOP LTDA,30525718626,49,AGRICULTORES FEDERADOS ARGENTINOS SOC COOP LTDA,Propia,MtR
1005,4873,BANCO JULIO S.A.,30657441216,5,BANCO JULIO S.A.,Terceros,MtR
82000,4873,BANCO JULIO S.A.,30657441216,5,BANCO JULIO S.A.,Propia,MtR
1050,5041390,INVERSORA CREDITAL SA,30715137603,50,INVERSORA CREDITAL SA,Terceros,MtR
95500,5041390,INVERSORA CREDITAL SA,30715137603,50,INVERSORA CREDITAL SA,Propia,MtR
1500,6234,GRUPO FINANCIERO VALORES  S A,30525318377,500,GRUPO FINANCIERO VALORES  S A,Propia,MtR
1501,8138,A.C. INVERSORA S.A.,30707265414,501,A.C. INVERSORA S.A.,Propia,MtR
10250,2674,ENLACE INT S.A.,30661896910,501,A.C. INVERSORA S.A.,ACVN,MtR
10251,3039,J A Y ASOCIADOS  S A,30663481793,501,A.C. INVERSORA S.A.,ACVN,MtR
10253,6983,SERVICIO DE ASESORAMIENTO Y ADMINISTRACION FINANCIERO S.A.,30710313128,501,A.C. INVERSORA S.A.,ACVN,MtR
10254,6602,FES S.A.,30710981945,501,A.C. INVERSORA S.A.,ACVN,MtR
10255,6696,BT BROKERS SA,30711295654,501,A.C. INVERSORA S.A.,ACVN,MtR
10257,8908,GLOBAL TRADING DESK S.A.,30713641207,501,A.C. INVERSORA S.A.,ACVN,MtR
33548,30386,TRADITION ARGENTINA S A,30687218996,501,A.C. INVERSORA S.A.,ACVN,MtR
41117,36360,AGRIMAX SA,30696406169,501,A.C. INVERSORA S.A.,Terceros,MtR
10682,12222,ADCAP ASSET MANAGEMENT SOCIEDAD GERENTE DE FONDOS COMUNES DE INVERSION S.A.,30710198388,502,A.C. INVERSORA S.A.,Terceros,MtR
10683,2895,BALANZ SOCIEDAD GERENTE DE FONDOS COMUNES DE INVERSION S A U,33708123469,502,A.C. INVERSORA S.A.,Terceros,MtR
1503,12799,MERCADO ABIERTO ELECTRONICO S.A.,33628189159,503,MERCADO ABIERTO ELECTRONICO S.A.,Propia,MtR
1504,2461,MERCADO ARGENTINO DE VALORES SA,30529177875,504,MERCADO ARGENTINO DE VALORES SA,Propia,MtR
1505,28215,MATBA ROFEX  S A,30525698412,505,MATBA ROFEX  S A,Propia,MtR
5074,28215,MATBA ROFEX  S A,30525698412,505,MATBA ROFEX  S A,CEL,MtR
1506,658821,INVOITRADE S.A.,30716398230,506,INVOITRADE S.A.,Terceros,MtR
65999,658821,INVOITRADE S.A.,30716398230,506,INVOITRADE S.A.,Propia,MtR
149150,15807,CRECER S.G.R.,30711015805,506,INVOITRADE S.A.,CER,MtR
1507,28215,MATBA ROFEX  S A,30525698412,507,MATBA ROFEX  S A,Propia,MtR
5071,28215,MATBA ROFEX  S A,30525698412,507,MATBA ROFEX  S A,CEL,MtR
5072,28215,MATBA ROFEX  S A,30525698412,507,MATBA ROFEX  S A,CEL,MtR
5073,28215,MATBA ROFEX  S A,30525698412,507,MATBA ROFEX  S A,CEL,MtR
5075,28215,MATBA ROFEX  S A,30525698412,507,MATBA ROFEX  S A,CEL,MtR
1508,5407213,FINOVA,30716827638,508,FINOVA,Terceros,MtR
142785,5407213,FINOVA,30716827638,508,FINOVA,Propia,MtR
1509,7385592,CENTRO DE CORREDORES Y AGENTES DE LA    BOLSA DE CEREALES,30525822482,509,CENTRO DE CORREDORES Y AGENTES DE LA    BOLSA DE CEREALES,Propia,MtR
1051,20629,ALYCBUR S. A.,30714366323,51,ALYCBUR S. A.,Terceros,MtR
98100,20629,ALYCBUR S. A.,30714366323,51,ALYCBUR S. A.,Propia,MtR
1520,28215,MATBA ROFEX  S A,30525698412,520,MATBA ROFEX  S A,Terceros,MtR
31223,28215,MATBA ROFEX  S A,30525698412,520,MATBA ROFEX  S A,Propia,MtR
1524,30200,NEXO AGENTE DE LIQUIDACION Y COMPENSACION INTEGRAL S.A.,30714515329,520,MATBA ROFEX  S A,Terceros,MtR
35420,14738,AGROVE S.R.L.,30712139281,520,MATBA ROFEX  S A,Terceros,MtR
35572,32250,PROVINEX SA,30708091134,520,MATBA ROFEX  S A,Terceros,MtR
36685,6561,DILLON WILLIAM SRL,30711263787,520,MATBA ROFEX  S A,Terceros,MtR
37885,24964,COLOMBO Y MAGLIANO SA AGRICOLA GANADERA Y COMERCIAL,30520760535,520,MATBA ROFEX  S A,Terceros,MtR
1533,4584,CONDORES SA,30707661026,520,MATBA ROFEX  S A,Terceros,MtR
41066,1159,COMPA#IA GENERAL DEL TERMINO S A,30690743295,520,MATBA ROFEX  S A,Terceros,MtR
1526,5099,AGRINTER CEREALES   S R L,30708974737,526,AGRINTER CEREALES   S R L,Terceros,MtR
34797,5099,AGRINTER CEREALES   S R L,30708974737,526,AGRINTER CEREALES   S R L,Propia,MtR
34799,720,MORGAN GARCIA MANSILLA Y CIA S A,30607987277,527,MORGAN GARCIA MANSILLA Y CIA S A,Propia,MtR
1527,720,MORGAN GARCIA MANSILLA Y CIA S A,30607987277,527,MORGAN GARCIA MANSILLA Y CIA S A,Terceros,MtR
1053,2,BARRILLI SOCIEDAD ANONIMA,30541906564,53,BARRILLI SOCIEDAD ANONIMA,Terceros,MtR
101930,2,BARRILLI SOCIEDAD ANONIMA,30541906564,53,BARRILLI SOCIEDAD ANONIMA,Propia,MtR
1530,3694,A & J NARI S A,30708589639,530,A & J NARI S A,Terceros,MtR
38049,3694,A & J NARI S A,30708589639,530,A & J NARI S A,Propia,MtR
1535,38016,MBC CORREDORES DE CEREALES S.R.L.,30708780436,535,MBC CORREDORES DE CEREALES S.R.L.,Terceros,MtR
42071,38016,MBC CORREDORES DE CEREALES S.R.L.,30708780436,535,MBC CORREDORES DE CEREALES S.R.L.,Propia,MtR
1536,12636,CORTINA BERUATTO S A,30598973780,536,CORTINA BERUATTO S A,Terceros,MtR
44846,12636,CORTINA BERUATTO S A,30598973780,536,CORTINA BERUATTO S A,Propia,MtR
1054,710407,DFC CAPITAL MANAGEMENT S.A.,30711381984,54,DFC CAPITAL MANAGEMENT S.A.,Terceros,MtR
101900,710407,DFC CAPITAL MANAGEMENT S.A.,30711381984,54,DFC CAPITAL MANAGEMENT S.A.,Propia,MtR
1055,428,ACEITERA GENERAL DEHEZA S A,30502874353,55,ACEITERA GENERAL DEHEZA S A,Terceros,MtR
3810,428,ACEITERA GENERAL DEHEZA S A,30502874353,55,ACEITERA GENERAL DEHEZA S A,Propia,MtR
1056,4281,BOGGIO SOSA SA,30709979821,56,BOGGIO SOSA SA,Terceros,MtR
101899,4281,BOGGIO SOSA SA,30709979821,56,BOGGIO SOSA SA,Propia,MtR
102500,6674,CEREALES DEL PLATA S A,30628383061,58,CEREALES DEL PLATA S A,Propia,MtR
1058,6674,CEREALES DEL PLATA S A,30628383061,58,CEREALES DEL PLATA S A,Terceros,MtR
1059,6460,CAMPOS Y NEGOCIOS S.A.,30709795518,59,CAMPOS Y NEGOCIOS S.A.,Terceros,MtR
102600,6460,CAMPOS Y NEGOCIOS S.A.,30709795518,59,CAMPOS Y NEGOCIOS S.A.,Propia,MtR
1060,5189,CHASCO DANNA Y COMPAÑIA SOCIEDAD DE RESPONSABILIDAD LIMITADA,30538239247,60,CHASCO DANNA Y COMPAÑIA SOCIEDAD DE RESPONSABILIDAD LIMITADA,Terceros,MtR
102700,5189,CHASCO DANNA Y COMPAÑIA SOCIEDAD DE RESPONSABILIDAD LIMITADA,30538239247,60,CHASCO DANNA Y COMPAÑIA SOCIEDAD DE RESPONSABILIDAD LIMITADA,Propia,MtR
1603,6345,BANCO COMAFI SOCIEDAD ANONIMA,30604731018,603,BANCO COMAFI SOCIEDAD ANONIMA,CEL,MtR
1062,33498,GRAIN SOLUTION SA,30708216913,62,GRAIN SOLUTION SA,Terceros,MtR
102900,33498,GRAIN SOLUTION SA,30708216913,62,GRAIN SOLUTION SA,Propia,MtR
1620,2888,BANCO MARIVA S A,30516420444,620,BANCO MARIVA S A,Propia,MtR
60000,18960,MARIVA ASSET MANAGEMENT SOCIEDAD ANONIMA UNIPERSONAL SOCIEDAD GERENTE DE FONDOS COMUNES DE INVERSION,30711653135,620,BANCO MARIVA S A,CEL,MtR
1621,6345,BANCO COMAFI SOCIEDAD ANONIMA,30604731018,621,BANCO COMAFI SOCIEDAD ANONIMA,Propia,MtR
60002,25573,AXIS SOCIEDAD GERENTE DE FONDOS COMUNES DE INVERSION S.A.,30712241450,621,BANCO COMAFI SOCIEDAD ANONIMA,CEL,MtR
60003,13958,GALILEO ARGENTINA SOCIEDAD GERENTE DE FONDOS COMUNES DE INVERSION SA,30694367255,621,BANCO COMAFI SOCIEDAD ANONIMA,CEL,MtR
60006,225390,BULL MARKET ASSET MANAGEMENT SA,33715593209,621,BANCO COMAFI SOCIEDAD ANONIMA,CEL,MtR
60009,39064,MEGAINVER  S.A.,30712126457,621,BANCO COMAFI SOCIEDAD ANONIMA,CEL,MtR
60011,12222,ADCAP ASSET MANAGEMENT SOCIEDAD GERENTE DE FONDOS COMUNES DE INVERSION S.A.,30710198388,621,BANCO COMAFI SOCIEDAD ANONIMA,CEL,MtR
60012,2576,COHEN S.A.,30558543317,621,BANCO COMAFI SOCIEDAD ANONIMA,CEL,MtR
60016,4319,STONEX ASSET MANAGEMENT SA,30693764943,621,BANCO COMAFI SOCIEDAD ANONIMA,CEL,MtR
60018,39059,CAPITAL MARKETS ARGENTINA ASSET MANAGEMENT S.A.,30656296840,621,BANCO COMAFI SOCIEDAD ANONIMA,CEL,MtR
80000,35675,IEB S.A.,33715646469,621,BANCO COMAFI SOCIEDAD ANONIMA,CEL,MtR
141000,10892,SOUTHERN TRUST SOCIEDAD GERENTE DE FONDOS COMUNES DE INVERSION S.A. ,33710608909,621,BANCO COMAFI SOCIEDAD ANONIMA,CEL,MtR
144300,42309,ZOFINGEN INVESTMENT SA,30546826321,621,BANCO COMAFI SOCIEDAD ANONIMA,CEL,MtR
146600,2895,BALANZ SOCIEDAD GERENTE DE FONDOS COMUNES DE INVERSION S A U,33708123469,621,BANCO COMAFI SOCIEDAD ANONIMA,CEL,MtR
149200,13813,DELTA ASSET MANAGEMENT S.A,33709172919,621,BANCO COMAFI SOCIEDAD ANONIMA,CEL,MtR
159200,5023,DRACMA SA,30708871903,621,BANCO COMAFI SOCIEDAD ANONIMA,CEL,MtR
1622,2640,BANCO INDUSTRIAL SOCIEDAD ANONIMA,30685029959,622,BANCO INDUSTRIAL SOCIEDAD ANONIMA,Propia,MtR
60004,34009,INDUSTRIAL ASSET MANAGEMENT SGFCI S.A.,30619740854,622,BANCO INDUSTRIAL SOCIEDAD ANONIMA,CEL,MtR
1623,16659,BANCO CMF SOCIEDAD ANONIMA,30576614299,623,BANCO CMF SOCIEDAD ANONIMA,Propia,MtR
60007,39067,CMF ASSET MANAGEMENT S.A.U.,30715403435,623,BANCO CMF SOCIEDAD ANONIMA,CEL,MtR
1624,11152,BANCO DE SERVICIOS Y TRANSACCIONES S.A,30704960995,624,BANCO DE SERVICIOS Y TRANSACCIONES S.A,Propia,MtR
77777,31604,QM ASSET MANAGEMENT SOCIEDAD GERENTE DE FCI SA,33709965579,624,BANCO DE SERVICIOS Y TRANSACCIONES S.A,CEL,MtR
